SYMBOL,ISIN
ASHOKA,INE442H01029
ASHOKLEY,INE208A01029
ASIANHOTNR,INE363A01022
ASIANPAINT,INE021A01026
ASIANTILES,INE022I01019
ASLIND,INE617I01024
ASPINWALL,INE991I01015
ASTEC,INE563J01010
ASTERDM,INE914M01019
ASTRAL,INE006I01046
ASTRAMICRO,INE386C01029
ASTRAZEN,INE203A01020
ASTRON,INE646X01014
ATFL,INE209A01019
ATGL,INE399L01023
ATLANTA,INE285H01022
ATLASCYCLE,INE446A01025
ATUL,INE100A01010
ATULAUTO,INE951D01028
AUBANK,INE949L01017
AURIONPRO,INE132H01018
AUROPHARMA,INE406A01037
AUSOMENT,INE218C01016
AUTOAXLES,INE449A01011
AUTOIND,INE718H01014
AUTOLITIND,INE448A01013
AVADHSUGAR,INE349W01017
AVANTIFEED,INE871C01038
AVG,INE680Z01018
AVTNPL,INE488D01021
AWHCL,INE01BK01022
AXISBANK,INE238A01034
AXISBNKETF,INF846K01X63
AXISCADES,INE555B01013
AXISGOLD,INF846K01W80
AXISNIFTY,INF846K01W98
AXISTECETF,INF846K01Y96
AYMSYNTEX,INE193B01039
BAFNAPH,INE878I01022
BAGFILMS,INE116D01028
BAJAJ-AUTO,INE917I01010
BAJAJCON,INE933K01021
BAJAJELEC,INE193E01025
BAJAJFINSV,INE918I01018
BAJAJHIND,INE306A01021
BAJAJHLDNG,INE118A01012
BAJFINANCE,INE296A01024
BALAJITELE,INE794B01026
BALAMINES,INE050E01027
BALAXI,INE618N01014
BALKRISHNA,INE875R01011
BALKRISIND,INE787D01026
BALLARPUR,INE294A01037
BALMLAWRIE,INE164A01016
BALPHARMA,INE083D01012
BALRAMCHIN,INE119A01028
BANARBEADS,INE655B01011
BANARISUG,INE459A01010
BANCOINDIA,INE213C01025
BANDHANBNK,INE545U01014
BANG,INE863I01016
BANKA,INE862Y01015
BANKBARODA,INE028A01039
BANKBEES,INF204KB15I9
BANKINDIA,INE084A01016
BANSWRAS,INE629D01012
BARBEQUE,INE382M01027
BARTRONICS,INE855F01034
BASF,INE373A01013
BASML,INE186H01022
BATAINDIA,INE176A01028
BAYERCROP,INE462A01022
BBL,INE464A01028
BBTC,INE050A01025
BCG,INE425B01027
BCLIND,INE412G01016
BCP,INE905P01028
BDL,INE171Z01018
BEARDSELL,INE520H01022
BECTORFOOD,INE495P01012
BEDMUTHA,INE844K01012
BEL,INE263A01024
BEML,INE258A01016
BEPL,INE922A01025
BERGEPAINT,INE463A01038
BESTAGRO,INE052T01013
BETA,INE351Y01019
BFINVEST,INE878K01010
BFUTILITIE,INE243D01012
BGLOBAL,INE224M01013
BGRENERGY,INE661I01014
BHAGERIA,INE354C01027
BHAGYANGR,INE458B01036
BHAGYAPROP,INE363W01018
BHANDARI,INE474E01029
BHARATFORG,INE465A01025
BHARATGEAR,INE561C01019
BHARATRAS,INE838B01013
BHARATWIRE,INE316L01019
BHARTIARTL,INE397D01024
BHEL,INE257A01026
BIGBLOC,INE412U01017
BIL,INE828A01016
BILENERGY,INE607L01029
BINDALAGRO,INE143A01010
BIOCON,INE376G01013
BIOFILCHEM,INE829A01014
BIRET,INE0FDU25010
BIRLACABLE,INE800A01015
BIRLACORPN,INE340A01012
BIRLAMONEY,INE865C01022
BIRLATYRE,INE0AEJ01013
BKMINDST,INE831Q01016
BLBLIMITED,INE791A01024
BLISSGVS,INE416D01022
BLKASHYAP,INE350H01032
BLS,INE153T01027
BLUECHIP,INE657B01025
BLUECOAST,INE472B01011
BLUEDART,INE233B01017
BLUESTARCO,INE472A01039
BODALCHEM,INE338D01028
BOHRA,INE802W01015
BOMDYEING,INE032A01023
BOROLTD,INE02PY01013
BORORENEW,INE666D01022
BOSCHLTD,INE323A01026
BPCL,INE029A01011
BPL,INE110A01019
BRFL,INE589G01011
BRIGADE,INE791I01019
BRIGHT,INE684Z01010
BRITANNIA,INE216A01030
BRITANNIA,INE216A07052
BRNL,INE727S01012
BROOKS,INE650L01011
BSE,INE118H01025
BSELINFRA,INE395A01016
BSHSL,INE032Z01012
BSL,INE594B01012
BSLGOLDETF,INF209K01HT2
BSLNIFTY,INF209K01IR4
BSOFT,INE836A01035
BURGERKING,INE07T201019
BURNPUR,INE817H01014
BUTTERFLY,INE295F01017
BVCL,INE139I01011
BYKE,INE319B01014
CADILAHC,INE010B01027
CALSOFT,INE526B01014
CAMLINFINE,INE052I01032
CAMS,INE596I01012
CANBK,INE476A01014
CANDC,INE874H01015
CANFINHOME,INE477A01020
CANTABIL,INE068L01016
CAPACITE,INE264T01014
CAPLIPOINT,INE475E01026
CAPTRUST,INE707C01018
CARBORUNIV,INE120A01034
CAREERP,INE521J01018
CARERATING,INE752H01013
CASTEXTECH,INE068D01021
CASTROLIND,INE172A01027
CCCL,INE429I01024
CCHHL,INE652F01027
CCL,INE421D01022
CDSL,INE736A01011
CEATLTD,INE482A01020
CEBBCO,INE209L01016
CELEBRITY,INE185H01016
CENTENKA,INE485A01015
CENTEXT,INE281A01026
CENTRALBK,INE483A01010
CENTRUM,INE660C01027
CENTUM,INE320B01020
CENTURYPLY,INE348B01021
CENTURYTEX,INE055A01016
CERA,INE739E01017
CEREBRAINT,INE345B01019
CESC,INE486A01013
CGCL,INE180C01026
CGPOWER,INE067A01029
CHALET,INE427F01016
CHAMBLFERT,INE085A01013
CHEMBOND,INE995D01025
CHEMCON,INE03YM01018
CHEMFAB,INE783X01023
CHENNPETRO,INE178A01016
CHOLAFIN,INE121A01024
CHOLAHLDNG,INE149A01033
CHROMATIC,INE662C01015
CIGNITITEC,INE675C01017
CINELINE,INE704H01022
CINEVISTA,INE039B01026
CIPLA,INE059A01026
CKPLEISURE,INE418Y01016
CLEDUCATE,INE201M01011
CLNINDIA,INE492A01029
CMICABLES,INE981B01011
CMMIPL,INE289S01013
COALINDIA,INE522F01014
COCHINSHIP,INE704P01017
COFFEEDAY,INE335K01011
COFORGE,INE591G01017
COLPAL,INE259A01022
COMPINFO,INE070C01037
COMPUSOFT,INE453B01029
CONCOR,INE111A01025
CONFIPET,INE552D01024
CONSOFINVT,INE025A01027
CONTROLPR,INE663B01015
CORALFINAC,INE558D01021
CORDSCABLE,INE792I01017
COROMANDEL,INE169A01031
COSMOFILMS,INE757A01017
COUNCODOS,INE695B01025
COX&KINGS,INE008I01026
CPSEETF,INF457M01133
CRAFTSMAN,INE00LO01017
CREATIVE,INE985W01018
CREDITACC,INE741K01010
CREST,INE559D01011
CRISIL,INE007A01025
CROMPTON,INE299U01018
CROWN,INE491V01019
CSBBANK,INE679A01013
CTE,INE627H01017
CUB,INE491A01021
CUBEXTUB,INE144D01012
CUMMINSIND,INE298A01020
CUPID,INE509F01011
CYBERMEDIA,INE278G01037
CYBERTECH,INE214A01019
CYIENT,INE136B01020
DAAWAT,INE818H01020
DABUR,INE016A01026
DALALSTCOM,INE055C01020
DALBHARAT,INE00R701025
DALMIASUG,INE495A01022
DAMODARIND,INE497D01022
DANGEE,INE688Y01014
DATAMATICS,INE365B01017
DBCORP,INE950I01011
DBL,INE917M01012
DBREALTY,INE879I01012
DBSTOCKBRO,INE921B01025
DCAL,INE385W01011
DCBBANK,INE503A01015
DCM,INE498A01018
DCMFINSERV,INE891B01012
DCMNVL,INE08KP01019
DCMSHRIRAM,INE499A01024
DCW,INE500A01029
DECCANCE,INE583C01021
DEEPAKFERT,INE501A01019
DEEPAKNTR,INE288B01029
DEEPENR,INE677H01012
DEEPINDS,INE0FHS01016
DELTACORP,INE124G01033
DELTAMAGNT,INE393A01011
DEN,INE947J01015
DENORA,INE244A01016
DEVIT,INE060X01018
DFMFOODS,INE456C01020
DGCONTENT,INE03JI01017
DHAMPURSUG,INE041A01016
DHANBANK,INE680A01011
DHANI,INE274G01010
DHANILOANS,INE614X07068
DHANILOANS,INE614X07084
DHANILOANS,INE614X07092
DHANIPP,IN9274G01034
DHANUKA,INE435G01025
DHARSUGAR,INE988C01014
DHFL,INE202B01012
DHFL,INE202B07IY2
DHFL,INE202B07JA0
DHFL,INE202B07JJ1
DHFL,INE202B07JF9
DHFL,INE202B07JH5
DHUNINV,INE320L01011
DIAMONDYD,INE393P01035
DIAPOWER,INE989C01012
DICIND,INE303A01010
DIGISPICE,INE927C01020
DISHTV,INE836F01026
DIVISLAB,INE361B01024
DIXON,INE935N01020
DLF,INE271C01023
DLINKINDIA,INE250K01012
DMART,INE192R01011
DNAMEDIA,INE016M01021
DOLAT,INE966A01022
DOLLAR,INE325C01035
DONEAR,INE668D01028
DPABHUSHAN,INE266Y01019
DPSCLTD,INE360C01024
DPWIRES,INE864X01013
DQE,INE656K01010
DRCSYSTEMS,INE03RS01019
DREDGECORP,INE506A01018
DRREDDY,INE089A01023
DSSL,INE417B01040
DTIL,INE341R01014
DUCON,INE741L01018
DVL,INE477B01010
DWARKESH,INE366A01041
DYNAMATECH,INE221B01012
DYNPRO,INE256H01015
EASEMYTRIP,INE07O001018
EASTSILK,INE962C01027
EASUNREYRL,INE268C01029
EBBETF0423,INF754K01KN4
EBBETF0425,INF754K01LD3
EBBETF0430,INF754K01KO2
EBBETF0431,INF754K01LE1
EBIXFOREX,INE726L01019
EC4RG,INF903JA1DN0
ECLERX,INE738I01010
ECLFINANCE,INE804I074Y7
ECLFINANCE,INE804I075Y4
ECLFINANCE,INE804I077Y0
ECLFINANCE,INE804I078Y8
ECLFINANCE,INE804I075Z1
ECLFINANCE,INE804I077Z7
ECLFINANCE,INE804I078Z5
ECLFINANCE,INE804IA7014
ECLFINANCE,INE804IA7022
EDELWEISS,INE532F01054
EDUCOMP,INE216H01027
EHFLNCD,INE530L07194
EHFLNCD,INE530L07228
EICHERMOT,INE066A01021
EIDPARRY,INE126A01031
EIHAHOTELS,INE276C01014
EIHOTEL,INE230A01023
EIMCOELECO,INE158B01016
EKC,INE184H01027
ELECON,INE205B01023
ELECTCAST,INE086A01029
ELECTHERM,INE822G01016
ELGIEQUIP,INE285A01027
ELGIRUBCO,INE819L01012
EMAMILTD,INE548C01032
EMAMIPAP,INE830C01026
EMAMIREAL,INE778K01012
EMBASSY,INE041025011
EMCO,INE078A01026
EMKAY,INE296H01011
EMKAYTOOLS,INE332S01011
EMMBI,INE753K01015
EMOFSR1RGG,INF754K01IR9
ENDURANCE,INE913H01037
ENERGYDEV,INE306C01019
ENGINERSIN,INE510A01028
ENIL,INE265F01028
EPL,INE255A01020
EQ30,INF754K01EM9
EQUITAS,INE988K01017
EQUITASBNK,INE063P01018
ERFLNCDI,INE528S07094
ERFLNCDI,INE528S07110
ERFLNCDI,INE528S07128
ERIS,INE406M01024
EROSMEDIA,INE416L01017
ESABINDIA,INE284A01012
ESCORTS,INE042A01014
ESSARSHPNG,INE122M01019
ESTER,INE778B01029
EUROMULTI,INE063J01011
EVEREADY,INE128A01029
EVERESTIND,INE295A01018
EXCEL,INE688J01015
EXCELINDUS,INE369A01029
EXIDEIND,INE302A01020
EXPLEOSOL,INE201K01015
FACT,INE188A01015
FAIRCHEMOR,INE0DNW01011
FCL,INE045J01026
FCONSUMER,INE220J01025
FCSSOFT,INE512B01022
FDC,INE258B01022
FEDERALBNK,INE171A01029
FEL,INE623B01027
FELDVR,IN9623B01058
FELIX,INE901X01013
FIEMIND,INE737H01014
FILATEX,INE816B01027
FINCABLES,INE235A01022
FINEORG,INE686Y01026
FINPIPE,INE183A01024
FLEXITUFF,INE060J01017
FLFL,INE452O01016
FLUOROCHEM,INE09N301011
FMGOETZE,INE529A01010
FMNL,INE360L01017
FORCEMOT,INE451A01017
FORTIS,INE061F01013
FOSECOIND,INE519A01011
FRETAIL,INE752P01024
FSC,INE935Q01015
FSL,INE684F01012
G5,INF247L01AK4
GABRIEL,INE524A01029
GAEL,INE036B01030
GAIL,INE129A01019
GAL,INE482J01021
GALAXYSURF,INE600K01018
GALLANTT,INE297H01019
GALLISPAT,INE528K01029
GAMMNINFRA,INE181G01025
GANDHITUBE,INE524B01027
GANECOS,INE845D01014
GANESHHOUC,INE460C01014
GANGAFORGE,INE691Z01015
GANGESSECU,INE335W01016
GANGOTRI,INE670B01028
GARFIBRES,INE276A01018
GATI,INE152B01027
GAYAHWS,INE287Z01012
GAYAPROJ,INE336H01023
GBGLOBAL,INE087J01028
GDL,INE852F01015
GEECEE,INE916G01016
GEEKAYWIRE,INE669X01016
GENCON,INE854S01022
GENESYS,INE727B01026
GENUSPAPER,INE949P01018
GENUSPOWER,INE955D01029
GEOJITFSL,INE007B01023
GEPIL,INE878A01011
GESHIP,INE017A01032
GET&D,INE200A01026
GFLLIMITED,INE538A01037
GFSTEELS,INE534A01028
GHCL,INE539A01019
GICHSGFIN,INE289B01019
GICL,INE947T01014
GICRE,INE481Y01014
GILLANDERS,INE047B01011
GILLETTE,INE322A01010
GINNIFILA,INE424C01010
GIPCL,INE162A01010
GKWLIMITED,INE528A01020
GLAND,INE068V01023
GLAXO,INE159A01016
GLENMARK,INE935A01035
GLFL,INE540A01017
GLOBAL,INE291W01011
GLOBALVECT,INE792H01019
GLOBUSSPR,INE615I01010
GMBREW,INE075D01018
GMDCLTD,INE131A01031
GMMPFAUDLR,INE541A01023
GMRINFRA,INE776C01039
GNA,INE934S01014
GNFC,INE113A01013
GOACARBON,INE426D01013
GOCLCORP,INE077F01035
GODFRYPHLP,INE260B01028
GODHA,INE925Y01010
GODREJAGRO,INE850D01014
GODREJCP,INE102D01028
GODREJIND,INE233A01035
GODREJPROP,INE484J01027
GOENKA,INE516K01024
GOKEX,INE887G01027
GOKUL,INE020J01029
GOKULAGRO,INE314T01025
GOLDBEES,INF204KB17I5
GOLDENTOBC,INE973A01010
GOLDIAM,INE025B01017
GOLDSHARE,INF789F1AUX7
GOLDTECH,INE805A01014
GOODLUCK,INE127I01024
GOODYEAR,INE533A01012
GPIL,INE177H01013
GPPL,INE517F01014
GPTINFRA,INE390G01014
GRANULES,INE101D01020
GRAPHITE,INE371A01025
GRASIM,INE047A01021
GRAVITA,INE024L01027
GREAVESCOT,INE224A01026
GREENLAM,INE544R01013
GREENPANEL,INE08ZM01014
GREENPLY,INE461C01038
GREENPOWER,INE999K01014
GRINDWELL,INE536A01023
GROBTEA,INE646C01018
GRPLTD,INE137I01015
GRSE,INE382Z01011
GSCLCEMENT,INE542A01039
GSFC,INE026A01025
GSPL,INE246F01010
GSS,INE871H01011
GTL,INE043A01012
GTLINFRA,INE221H01019
GTNTEX,INE302H01017
GTPL,INE869I01013
GUFICBIO,INE742B01025
GUJALKALI,INE186A01019
GUJAPOLLO,INE826C01016
GUJGASLTD,INE844O01030
GUJRAFFIA,INE610B01024
GULFOILLUB,INE635Q01029
GULFPETRO,INE586G01017
GULPOLY,INE255D01024
GVKPIL,INE251H01024
HAL,INE066F01012
HAPPSTMNDS,INE419U01012
HARRMALAYA,INE544A01019
HATHWAY,INE982F01036
HATSUN,INE473B01035
HAVELLS,INE176B01034
HAVISHA,INE293B01029
HBANKETF,INF179KC1AN8
HBLPOWER,INE292B01021
HBSL,INE550B01022
HCC,INE549A01026
HCG,INE075I01017
HCL-INSYS,INE236A01020
HCLTECH,INE860A01027
HDFC,INE001A01036
HDFC,INE001A13049
HDFCAMC,INE127D01025
HDFCBANK,INE040A01034
HDFCLIFE,INE795G01014
HDFCMFGETF,INF179KC1981
HDFCNIFETF,INF179KC1965
HDFCSENETF,INF179KC1973
HDIL,INE191I01012
HEG,INE545A01016
HEIDELBERG,INE578A01017
HEMIPROP,INE0AJG01018
HEOFRG1126,INF179KC1AH0
HERANBA,INE694N01015
HERCULES,INE688E01024
HERITGFOOD,INE978A01027
HEROMOTOCO,INE158A01026
HESTERBIO,INE782E01017
HEXATRADEX,INE750M01017
HFCL,INE548A01028
HGINFRA,INE926X01010
HGS,INE170I01016
HIKAL,INE475B01022
HIL,INE557A01011
HILTON,INE788H01017
HIMATSEIDE,INE049A01027
HINDALCO,INE038A01020
HINDCOMPOS,INE310C01029
HINDCOPPER,INE531E01026
HINDMOTORS,INE253A01025
HINDNATGLS,INE952A01022
HINDOILEXP,INE345A01011
HINDPETRO,INE094A01015
HINDUNILVR,INE030A01027
HINDZINC,INE267A01025
HIRECT,INE835D01023
HISARMETAL,INE598C01011
HITECH,INE106T01017
HITECHCORP,INE120D01012
HITECHGEAR,INE127B01011
HLEGLAS,INE461D01010
HLVLTD,INE102A01024
HMT,INE262A01018
HMVL,INE871K01015
HNDFDS,INE254N01018
HNGSNGBEES,INF204KB19I1
HOMEFIRST,INE481N01025
HONAUT,INE671A01010
HONDAPOWER,INE634A01018
HOVS,INE596H01014
HPL,INE495S01016
HSCL,INE019C01026
HSIL,INE415A01038
HTMEDIA,INE501G01024
HUBTOWN,INE703H01016
HUDCO,INE031A01017
HUDCO,INE031A07840
HUDCO,INE031A07832
HUDCO,INE031A07AT4
HUDCO,INE031A07949
HUDCO,INE031A07AB2
HUHTAMAKI,INE275B01026
HUSYSLTD,INE336T01010
IBMFNIFTY,INF666M01FS5
IBREALEST,INE069I01010
IBUCCREDIT,INE244L07101
IBULHSGFIN,INE148I01020
IBULHSGFIN,INE148I07GF5
IBULHSGFIN,INE148I07GJ7
IBULHSGFIN,INE148I07GL3
IBULHSGFIN,INE148I08256
ICEMAKE,INE520Y01019
ICICI500,INF109KC1CZ3
ICICIALPLV,INF109KC1N59
ICICIB22,INF109KB15Y7
ICICIBANK,INE090A01021
ICICIBANKN,INF109KC1E27
ICICIBANKP,INF109KC1E35
ICICIGI,INE765G01017
ICICIGOLD,INF109KC1NT3
ICICILIQ,INF109KC1KT9
ICICILOVOL,INF109KB10T8
ICICIM150,INF109KC1G82
ICICIMCAP,INF109KB1XT3
ICICINF100,INF109KA1962
ICICINIFTY,INF109K012R6
ICICINV20,INF109KB1WY5
ICICINXT50,INF109KC1NS5
ICICIPRULI,INE726G01019
ICICISENSX,INF346A01034
ICICITECH,INF109KC1N67
ICIL,INE483B01026
ICRA,INE725G01011
IDBI,INE008A01015
IDBIGOLD,INF397L01554
IDEA,INE669E01016
IDFC,INE043D01016
IDFCFIRSTB,INE092T01019
IDFCFIRSTB,INE092T08CK9
IDFCFIRSTB,INE092T08CM5
IDFCFIRSTB,INE092T08CN3
IDFCFIRSTB,INE092T08CO1
IDFCFIRSTB,INE092T08CP8
IDFNIFTYET,INF194KA1U07
IEX,INE022Q01020
IFBAGRO,INE076C01018
IFBIND,INE559A01017
IFCI,INE039A01010
IFCI,INE039A07801
IFGLEXPOR,INE133Y01011
IGARASHI,INE188B01013
IGL,INE203G01027
IGPL,INE204A01010
IIFL,INE530B01024
IIFL,INE866I07BZ1
IIFL,INE866I07CB0
IIFL,INE866I07CD6
IIFL,INE866I08279
IIFL,INE866I07CK1
IIFL,INE866I07CM7
IIFL,INE866I08311
IIFL,INE530B08094
IIFL,INE530B08102
IIFL,INE530B08110
IIFLSEC,INE489L01022
IIFLWAM,INE466L01020
IITL,INE886A01014
IL&FSENGG,INE369I01014
IL&FSTRANS,INE975G01012
IMAGICAA,INE172N01012
IMFA,INE919H01018
IMPAL,INE547E01014
IMPEXFERRO,INE691G01015
INDBANK,INE841B01017
INDHOTEL,INE053A01029
INDIACEM,INE383A01012
INDIAGLYCO,INE560A01015
INDIAMART,INE933S01016
INDIANB,INE562A01011
INDIANCARD,INE061A01014
INDIANHUME,INE323C01030
INDIGO,INE646L01027
INDIGOPNTS,INE09VQ01012
INDIGRID,INE219X23014
INDLMETER,INE065B01013
INDNIPPON,INE092B01025
INDOCO,INE873D01024
INDORAMA,INE156A01020
INDOSOLAR,INE866K01015
INDOSTAR,INE896L01010
INDOTECH,INE332H01014
INDOTHAI,INE337M01013
INDOWIND,INE227G01018
INDRAMEDCO,INE681B01017
INDSWFTLAB,INE915B01019
INDSWFTLTD,INE788B01028
INDTERRAIN,INE611L01021
INDUSINDBK,INE095A01012
INDUSTOWER,INE121J01017
INEOSSTYRO,INE189B01011
INFIBEAM,INE483S01020
INFOBEAN,INE344S01016
INFOMEDIA,INE669A01022
INFRABEES,INF732E01268
INFY,INE009A01021
INGERRAND,INE177A01018
INNOVANA,INE403Y01018
INNOVATIVE,INE070Y01015
INOXLEISUR,INE312H01016
INOXWIND,INE066P01011
INSECTICID,INE070I01018
INSPIRISYS,INE020G01017
INTEGRA,INE418N01027
INTELLECT,INE306R01017
INTENTECH,INE781A01025
INVENTURE,INE878H01016
IOB,INE565A01014
IOC,INE242A01010
IOLCP,INE485C01011
IPCALAB,INE571A01020
IRB,INE821I01014
IRBINVIT,INE183W23014
IRCON,INE962Y01021
IRCTC,INE335Y01012
IREDA,INE202E07120
IREDA,INE202E07229
IRFC,INE053F01010
IRFC,INE053F07538
IRFC,INE053F07561
IRFC,INE053F07595
IRFC,INE053F07678
IRFC,INE053F07686
IRFC,INE053F07728
IRFC,INE053F07744
IRFC,INE053F07801
IRFC,INE053F07827
IRFC,INE053F07843
IRFC,INE053F07884
IRFC,INE053F07892
IRISDOREME,INE01GN01017
ISEC,INE763G01038
ISFT,INE566K01011
ISMTLTD,INE732F01019
ITC,INE154A01025
ITDC,INE353K01014
ITDCEM,INE686A01026
ITI,INE248A01017
IVC,INE050B01023
IVP,INE043C01018
IVZINGOLD,INF205K01361
IVZINNIFTY,INF205K01DA9
IZMO,INE848A01014
J&KBANK,INE168A01041
JAGRAN,INE199G01027
JAGSNPHARM,INE048B01027
JAIBALAJI,INE091G01018
JAICORPLTD,INE070D01027
JAINSTUDIO,INE486B01011
JAMNAAUTO,INE039C01032
JASH,INE039O01011
JAYAGROGN,INE785A01026
JAYBARMARU,INE571B01028
JAYNECOIND,INE854B01010
JAYSREETEA,INE364A01020
JBCHEPHARM,INE572A01028
JBFIND,INE187A01017
JBMA,INE927D01028
JCHAC,INE782A01015
JETAIRWAYS,INE802G01018
JHS,INE544H01014
JIKIND,INE026B01049
JINDALPHOT,INE796G01012
JINDALPOLY,INE197D01010
JINDALSAW,INE324A01024
JINDALSTEL,INE749A01030
JINDCOT,INE904J01016
JINDRILL,INE742C01031
JINDWORLD,INE247D01039
JISLDVREQS,IN9175A01010
JISLJALEQS,INE175A01038
JITFINFRA,INE863T01013
JIYAECO,INE023S01016
JKCEMENT,INE823G01014
JKIL,INE576I01022
JKLAKSHMI,INE786A01032
JKPAPER,INE789E01012
JKTYRE,INE573A01042
JMA,INE412C01023
JMCPROJECT,INE890A01024
JMFINANCIL,INE780C01023
JMTAUTOLTD,INE988E01036
JOCIL,INE839G01010
JPASSOCIAT,INE455F01025
JPINFRATEC,INE099J01015
JPOLYINVST,INE147P01019
JPPOWER,INE351F01018
JSL,INE220G01021
JSLHISAR,INE455T01018
JSWENERGY,INE121E01018
JSWHL,INE824G01012
JSWISPL,INE743C01021
JSWSTEEL,INE019A01038
JTEKTINDIA,INE643A01035
JUBLFOOD,INE797F01012
JUBLINDS,INE645L01011
JUBLINGREA,INE0BY001018
JUBLPHARMA,INE700A01033
JUMPNET,INE974C01022
JUNIORBEES,INF732E01045
JUSTDIAL,INE599M01018
JYOTHYLAB,INE668F01031
JYOTISTRUC,INE197A01024
KABRAEXTRU,INE900B01029
KAJARIACER,INE217B01036
KAKATCEM,INE437B01014
KALPATPOWR,INE220B01022
KALYANIFRG,INE314G01014
KALYANKJIL,INE303R01014
KAMATHOTEL,INE967C01018
KAMDHENU,INE390H01012
KANANIIND,INE879E01037
KANORICHEM,INE138C01024
KANPRPLA,INE694E01014
KANSAINER,INE531A01024
KAPSTON,INE542Z01010
KARDA,INE278R01026
KARMAENG,INE725L01011
KARURVYSYA,INE036D01028
KAUSHALYA,INE234I01010
